EID,sex,DamCalfEID,DamCalfSEX
951 000014062257,,951 000014061969,
982 000101043299,,982 000101064676,
982 000101064676,,982 000101043299,
982 000154896012,,982 091015664817,
982 000192621913,,982 000192622265,
982 000192622131,,982 000192621813,
982 000192622265,,982 000192622265,
982 091015680798,,982 091015781787,
982 123459910793,,982 000192621813,
982 123459910852,,982 000114110840,female
982 123460159164,female,982 123460159212,
982 123460159212,,982 123460159164,female
982 123460159292,,982 000192622265,
982 123460159347,,982 000085268425,female
982 123460159422,,982 125002321845,
982 123517937471,female,982 123517937471,female
982 123517937474,male,982 123517937476,male
982 123517937476,male,982 123517937474,male
982 123517937477,female,982 123517937477,female
982 123517937478,male,982 123517937478,male
982 123517937479,female,982 123517937479,female
982 123517937480,male,982 123517937480,male
982 123517937484,male,982 123517937509,female
982 123517937498,male,982 123517937498,male
982 123517937499,female,982 123517937499,female
982 123517937501,female,982 123517937501,female
982 123517937520,male,982 123517937531,female
982 123517937523,female,982 123517937523,female
982 123517937531,female,982 123517937531,female
982 123517937537,female,982 123517937537,female
982 123539299192,,982 125002322045,female
982 123733100659,female,982 123733100659,female
982 123733100668,female,982 123733100668,female
982 123733100700,female,982 123733100700,female
982 125002105764,,982 000115071279,female
982 125002105772,,982 000114912246,female
982 125002105791,,982 000114912685,female
982 125002106113,,982 000114912673,female
982 125002321749,,982 000150371272,female
982 125002321786,,982 000154811730,female
982 125002321801,,982 000136093434,female
982 125002321804,,982 000114111016,female
982 125002321813,,982 125002322273,female
982 125002321831,,982 000085268462,female
982 125002321845,,982 123460159422,
982 125002321907,,982 000085268425,female
982 125002322037,,982 125002322006,
982 125002322066,,982 000085268452,female
982 125002322074,,982 000114111526,female
982 125002322191,,982 125002322203,
982 125002322203,,982 125002322191,
982 125002322298,,982 000154838331,female
982 125002322315,,982 125002105681,
